ref_name,query_name,seed_name,edit_distance,edit_distance_time
query1+0,query1,alignment,0,0.000083677
query1+10,query1,alignment,10,0.000094427
query1+20,query1,alignment,20,0.000186641
query1+30,query1,alignment,30,0.000285276
query1+40,query1,alignment,40,0.000442482
query1+50,query1,alignment,50,0.000653167
query1+60,query1,alignment,60,0.000922053
query1+70,query1,alignment,70,0.001190217
query1+80,query1,alignment,80,0.001615016
query1+90,query1,alignment,90,0.002008214
query1+100,query1,alignment,100,0.002477356
query1+110,query1,alignment,110,0.003302498
query1+120,query1,alignment,120,0.003736292
query1+130,query1,alignment,130,0.004182852
query1+140,query1,alignment,140,0.004836751
query1+150,query1,alignment,150,0.005860545
query1+160,query1,alignment,160,0.006774093
query1+170,query1,alignment,170,0.00719855
query1+180,query1,alignment,180,0.008052956
query1+190,query1,alignment,190,0.008923753
query1+200,query1,alignment,200,0.009981101
query1+210,query1,alignment,210,0.011426017
query1+220,query1,alignment,220,0.012094072
query1+230,query1,alignment,230,0.012956372
query1+240,query1,alignment,240,0.014323862
query1+250,query1,alignment,250,0.015294938
query1+260,query1,alignment,260,0.016327418
query1+270,query1,alignment,270,0.017822298
query1+280,query1,alignment,280,0.0190838
query1+290,query1,alignment,290,0.020570083
query1+300,query1,alignment,300,0.021695288
query1+310,query1,alignment,310,0.023374494
query1+320,query1,alignment,320,0.024488629
query1+330,query1,alignment,330,0.027305623
query1+340,query1,alignment,340,0.028197469
query1+350,query1,alignment,350,0.029127797
query1+360,query1,alignment,360,0.030722255
query1+370,query1,alignment,370,0.032479337
query1+380,query1,alignment,380,0.034213808
query1+390,query1,alignment,390,0.035877254
query1+400,query1,alignment,400,0.041915133
query1+410,query1,alignment,410,0.040799215
query1+420,query1,alignment,420,0.041525981
query1+430,query1,alignment,430,0.043151476
query1+440,query1,alignment,440,0.045720796
query1+450,query1,alignment,450,0.047796177
query1+460,query1,alignment,460,0.048795786
query1+470,query1,alignment,470,0.052121947
query1+480,query1,alignment,480,0.053143697
query1+490,query1,alignment,490,0.056985288
query1+500,query1,alignment,500,0.060427097
query1+510,query1,alignment,510,0.06192366
query1+520,query1,alignment,520,0.061748601
query1+530,query1,alignment,530,0.077674625
query1+540,query1,alignment,540,0.070075151
query1+550,query1,alignment,550,0.06802032
query1+560,query1,alignment,560,0.043761593
query1+570,query1,alignment,570,0.071518384
query1+580,query1,alignment,580,0.073551595
query1+590,query1,alignment,590,0.040516424
